tick,ctrlMel.r_roll,ctrlMel.r_pitch,ctrlMel.r_yaw,ctrlMel.cmd_thrust,ctrlMel.cmd_roll,ctrlMel.cmd_pitch,ctrlMel.cmd_yaw,ctrlMel.accelz
54352,0.656054079532623,0.002120514400303,0.282132834196091,52000,1510,-1834,3605,1.39313542842865
54354,0.668171346187592,0.002145506441593,0.278010368347168,52000,725,-2541,3556,1.38979053497314
54356,0.681824564933777,0.003783166641369,0.279590159654617,52000,-107,-2720,3579,1.387974858284
54358,0.683658063411713,0.002956516109407,0.280083060264587,52000,1037,-2457,3584,1.38620901107788
54360,0.678640723228455,-0.004332974087447,0.276739686727524,52000,1418,-1646,3549,1.38653326034546
54362,0.673087477684021,-0.017662005499005,0.272573411464691,52000,1583,-775,3499,1.38674736022949
54364,0.664445877075195,-0.029086276888847,0.26995575428009,52000,1669,-706,3472,1.38655638694763
54366,0.652750551700592,-0.03382483124733,0.266309857368469,52000,2209,-1279,3428,1.38548457622528
54368,0.641318917274475,-0.030295198783279,0.263734668493271,52000,2030,-2145,3402,1.38110780715942
54370,0.62242203950882,-0.01993459649384,0.26187002658844,52000,3154,-3035,3379,1.38233959674835
54372,0.596532821655273,-0.022346815094352,0.262528032064438,52000,4016,-1683,3391,1.38163578510284
54374,0.574666798114777,-0.036210779100657,0.263788491487503,52000,4051,-261,3406,1.37988245487213
54376,0.56400066614151,-0.030128370970488,0.260130345821381,52000,2807,-2347,3366,1.38271760940552
54378,0.553519070148468,-0.013058395124972,0.253140389919281,52000,2998,-3787,3282,1.38346934318542
54380,0.529855191707611,-0.008089115843177,0.249997109174728,52000,4471,-2659,3248,1.38486921787262
54382,0.49915212392807,-0.012981574051082,0.249910116195679,52000,5789,-1575,3247,1.38798809051514
54384,0.465309828519821,-0.009172735735774,0.250411719083786,52000,6498,-2504,3256,1.38985705375671
54386,0.429693758487701,0.012582826428115,0.246731743216515,52000,7388,-4734,3212,1.38930034637451
54388,0.392651468515396,0.025603463873267,0.239454388618469,52000,8031,-4124,3126,1.38694489002228
54390,0.356525868177414,0.030251206830144,0.233620956540108,52000,8661,-3379,3056,1.38499224185944
54392,0.326895177364349,0.030073493719101,0.233208984136581,52000,8400,-2899,3053,1.38224160671234
