tick,ctrlMel.r_roll,ctrlMel.r_pitch,ctrlMel.r_yaw,ctrlMel.cmd_thrust,ctrlMel.cmd_roll,ctrlMel.cmd_pitch,ctrlMel.cmd_yaw,ctrlMel.accelz
56227,-0.013332922011614,-0.050226822495461,0.2275610268116,26822,1447,-3258,2269,0.835223853588104
56229,-0.012993668206036,-0.047040812671185,0.225245803594589,26822,1779,-3344,2241,0.828198313713074
56231,-0.011720955371857,-0.02939529158175,0.226273372769356,26822,1675,-5118,2253,0.830322980880737
56233,-0.008895786479115,-0.030487801879644,0.228842869400978,26822,1463,-3222,2284,0.835205674171448
56235,-0.018330939114094,-0.035015497356653,0.226854994893074,26615,2893,-2760,2260,0.846818804740906
56237,-0.023608965799213,-0.043837692588568,0.22431255877018,26615,2582,-2154,2230,0.856698215007782
56239,-0.025740357115865,-0.040173146873713,0.219129338860512,26615,2327,-3447,2168,0.853160321712494
56241,-0.0259152315557,-0.038704629987478,0.218043759465218,26615,2134,-3256,2155,0.845311343669891
56243,-0.018478156998754,-0.032968781888485,0.220324903726578,26615,1236,-3773,2182,0.835617423057556
56245,-0.020196171477437,-0.032427065074444,0.222810670733452,26615,2186,-3264,2212,0.835799634456635
56247,-0.020370928570628,-0.028926398605108,0.225325360894203,26404,2048,-3607,2242,0.822252690792084
56249,-0.011437000706792,-0.025759518146515,0.218662828207016,26404,959,-3637,2162,0.805457651615143
56251,-0.003394093597308,-0.029107201844454,0.210556894540787,26404,888,-2895,2065,0.785874366760254
56253,0.005839790217578,-0.022178187966347,0.204546958208084,26404,585,-4061,1993,0.784369707107544
56255,0.010033464990556,-0.021904492750764,0.204895228147507,26404,996,-3382,1997,0.780879139900208
56257,0.006356136873364,-0.006221367046237,0.207501605153084,26198,1857,-5237,2028,0.787017643451691
56259,0.01349990349263,-0.002051169751212,0.210026934742928,26198,622,-4161,2059,0.776478111743927
56261,0.01480716932565,-0.002386479172856,0.206728294491768,26198,1180,-3704,2019,0.764243602752686
56263,0.022156583145261,-0.001677131163888,0.204223155975342,26198,415,-3813,1989,0.763365507125855
56265,0.030104018747807,0.003736043581739,0.202844247221947,26198,196,-4392,1973,0.764196455478668
56267,0.027658337727189,-0.004671299364418,0.205510929226875,25995,1269,-2831,2005,0.76277893781662
56269,0.028420738875866,-0.018992744386196,0.205868601799011,25995,933,-1953,2009,0.750474691390991
56271,0.032440911978483,-0.032208878546953,0.203841760754585,25995,511,-1772,1985,0.742211759090424
56273,0.041980009526014,-0.01919942907989,0.198705464601517,25995,-231,-4654,1924,0.735251784324646
56275,0.05063384398818,-0.010436629876494,0.195768237113953,25995,-340,-4389,1889,0.736283123493195
56277,0.058667294681072,-0.012199955061078,0.197445467114449,25791,-439,-3302,1909,0.724942445755005
56279,0.05771404132247,-0.010017306543887,0.19782455265522,25791,448,-3725,1914,0.724300444126129
56281,0.055428110063076,-0.007236866746098,0.197378441691399,25791,627,-3840,1908,0.716805100440979
56283,0.063467212021351,-0.003035455010831,0.193000659346581,25791,-599,-4056,1856,0.723816156387329
56285,0.073402233421803,-0.02226791344583,0.189532279968262,25791,-987,-1328,1815,0.721962809562683
56287,0.069607771933079,-0.025028979405761,0.184233859181404,25791,424,-2896,1752,0.726620614528656
56289,0.066494137048721,-0.033678557723761,0.178834646940231,25584,418,-2135,1687,0.719608545303345
56291,0.060674894601107,-0.030240405350924,0.178340226411819,25584,773,-3386,1681,0.718538880348206
56293,0.064773827791214,-0.040669426321983,0.179150402545929,25584,-299,-1791,1691,0.717091739177704
56295,0.061554443091154,-0.045323643833399,0.178263023495674,25584,465,-2240,1681,0.713643848896027
56297,0.048997156322002,-0.052441701292992,0.181559905409813,25584,1650,-1852,1721,0.706075608730316
56299,0.045065902173519,-0.042823061347008,0.18342100083828,25377,848,-3682,1743,0.701798498630524
56301,0.056492824107409,-0.03932274505496,0.182129934430122,25377,-915,-3141,1728,0.701135098934174
56303,0.064745791256428,-0.043535221368075,0.177735656499863,25377,-793,-2251,1675,0.699650585651398
56305,0.065088801085949,-0.058769822120667,0.178192928433418,25377,-9,-844,1681,0.701622486114502
56307,0.064333595335484,-0.06653368473053,0.177931234240532,25377,85,-1389,1678,0.701758861541748
56309,0.068592429161072,-0.081062898039818,0.1766676902771,25171,-500,-422,1663,0.70797598361969
56311,0.062893725931645,-0.077971115708351,0.178215369582176,25171,578,-2194,1682,0.714285850524902
56313,0.049068436026573,-0.075549408793449,0.179080054163933,25171,1667,-2176,1693,0.72318023443222
56315,0.042379152029753,-0.060179773718119,0.174309715628624,25171,1067,-3737,1636,0.719713151454926
56317,0.036542765796185,-0.047065947204828,0.169326543807983,25171,1098,-3774,1576,0.72237491607666
56319,0.031848184764385,-0.033457946032286,0.168289914727211,25171,1062,-4070,1564,0.724863231182098
56321,0.025177162140608,-0.034518964588642,0.170402139425278,24962,1393,-2582,1589,0.727925419807434
56323,0.026723274961114,-0.0369285158813,0.170174673199654,24962,531,-2371,1587,0.718730747699738
56325,0.020282166078687,-0.037981431931257,0.168308556079865,24962,1458,-2485,1564,0.713024258613586
56327,0.014539212919772,-0.042107149958611,0.169790238142014,24962,1500,-2064,1582,0.702208340167999
56329,-0.003470232710242,-0.049462396651507,0.171367689967155,24962,3087,-1594,1601,0.700236558914185
56331,-0.00023260161106,-0.056336108595133,0.1642185151577,24760,906,-1465,1515,0.688608169555664
56333,-0.00136599491816,-0.056164607405663,0.158847913146019,24760,1366,-2173,1451,0.69237607717514
56335,-0.002785193035379,-0.053057231009007,0.159115165472031,24760,1429,-2493,1454,0.695609569549561
56337,-0.014920755289495,-0.054964084178209,0.162062525749207,24760,2744,-1953,1489,0.706488609313965
56339,-0.013004004023969,-0.052785515785217,0.16214419901371,24760,1311,-2370,1490,0.704050123691559
56341,-0.019978169351816,-0.045374192297459,0.15886090695858,24760,2339,-3042,1451,0.70299106836319
56343,-0.016839480027557,-0.043113149702549,0.158457413315773,24760,1279,-2542,1446,0.693952023983002
56345,-0.020687520503998,-0.048025298863649,0.15842941403389,24760,2055,-1727,1446,0.698040425777435
